set,instance,command,mean_s,stddev_s,median_s,min_s,max_s,user_s,system_s,runs,counted_files,counted_lines,lines_per_sec,parallelism,lines_per_cpu_s
control-end,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/linux,0.236124,0.017319,0.229123,0.219187,0.279419,1.465625,1.645833,15,,,,13.18,
control-start,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/linux,0.23478,0.014361,0.230076,0.220553,0.268724,1.484375,1.58125,15,,,,13.06,
t1-fwd,mezura,"D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/linux --languages c,h,s,asm,py,pl,pm,rs,sh --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.196035,0.010167,0.197808,0.181927,0.217756,1.25625,1.322917,15,63767,36017775,183731080,13.16,13964889
t1-fwd,scc,"D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/linux -i c,h,s,asm,py,pl,pm,rs,sh --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.531223,0.031324,0.530947,0.484878,0.589788,3.505208,3.973958,15,63767,36017775,67801600,14.08,4815747
t1-fwd,tokei,"D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/linux -t ""C,C Header,GNU Style Assembly,Assembly,Python,Perl,Perl,Rust,Shell"" --no-ignore --hidden",0.615213,0.019232,0.617889,0.591363,0.644203,6.10625,2.701042,15,63822,36026522,58559458,14.32,4090534
t1-rev,tokei,"D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/linux -t ""C,C Header,GNU Style Assembly,Assembly,Python,Perl,Perl,Rust,Shell"" --no-ignore --hidden",0.619266,0.019478,0.617619,0.591436,0.64565,5.940625,2.697917,15,63822,36026522,58176181,13.95,4170440
t1-rev,scc,"D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/linux -i c,h,s,asm,py,pl,pm,rs,sh --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.520767,0.026285,0.523178,0.478705,0.575977,3.578125,3.863542,15,63767,36017775,69162945,14.29,4840015
t1-rev,mezura,"D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/linux --languages c,h,s,asm,py,pl,pm,rs,sh --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.198652,0.013751,0.194822,0.180812,0.233353,1.28125,1.294792,15,63767,36017775,181310472,12.97,13981829
t2-fwd,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/linux,0.231895,0.01632,0.22672,0.210139,0.267792,1.538542,1.5125,15,66568,35815794,154448244,13.16,11738874
t2-fwd,scc,D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/linux,0.766471,0.036183,0.777115,0.701216,0.817229,5.690625,5.095833,15,83832,39992940,52177999,14.07,3707699
t2-fwd,tokei,D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/linux,0.734106,0.024742,0.738159,0.702845,0.775729,6.936458,3.377083,15,83891,39991863,54476988,14.05,3877607
t2-rev,tokei,D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/linux,0.737172,0.02671,0.748784,0.699499,0.769643,7.013542,3.3875,15,83891,39991863,54250384,14.11,3844986
t2-rev,scc,D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/linux,0.732131,0.033797,0.739861,0.680538,0.791173,5.628125,4.876042,15,83832,39992940,54625365,14.35,3807341
t2-rev,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/linux,0.237962,0.012234,0.235826,0.220316,0.261168,1.522917,1.538542,15,66568,35815794,150510839,12.87,11698932
