set,instance,command,mean_s,stddev_s,median_s,min_s,max_s,user_s,system_s,runs,counted_files,counted_lines,lines_per_sec,parallelism,lines_per_cpu_s
control-end,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/jdk,0.095583,0.003892,0.094912,0.092453,0.109016,1.104455,0.29142,15,,,,14.6,
control-start,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/jdk,0.093714,0.000871,0.093322,0.092791,0.095646,1.08935,0.30607,15,,,,14.89,
t1-fwd,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/jdk --languages java,cpp,cc,hpp,hh,c,h,sh --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.080435,0.002652,0.079888,0.07865,0.089703,0.890034,0.291485,15,61425,13226930,164441628,14.69,11194849
t1-fwd,scc,"/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/jdk -i java,cpp,cc,hpp,hh,c,h,sh --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.114908,0.010705,0.111159,0.110246,0.152078,1.352271,0.323177,15,61420,13226395,115104278,14.58,7894245
t1-fwd,tokei,"/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/jdk -t ""Java,C++,C++,C++ Header,C++ Header,C,C Header,Shell"" --no-ignore --hidden",0.30441,0.004728,0.304458,0.297421,0.315967,4.048347,0.438758,15,61421,13226397,43449279,14.74,2947646
t1-rev,tokei,"/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/jdk -t ""Java,C++,C++,C++ Header,C++ Header,C,C Header,Shell"" --no-ignore --hidden",0.304571,0.002859,0.304442,0.299374,0.309208,4.067457,0.426142,15,61421,13226397,43426280,14.75,2943387
t1-rev,scc,"/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/jdk -i java,cpp,cc,hpp,hh,c,h,sh --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.113835,0.007369,0.111764,0.110621,0.139968,1.359199,0.326821,15,61420,13226395,116189678,14.81,7844743
t1-rev,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/jdk --languages java,cpp,cc,hpp,hh,c,h,sh --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.082636,0.004612,0.081074,0.079624,0.094993,0.878898,0.301158,15,61425,13226930,160062173,14.28,11208726
t2-fwd,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/jdk,0.095421,0.003328,0.094618,0.091719,0.105938,1.096676,0.298481,15,61950,13740143,143994963,14.62,9848458
t2-fwd,scc,/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/jdk,0.18562,0.012714,0.180788,0.179337,0.221328,2.36968,0.366369,15,66301,15818623,85220593,14.74,5781558
t2-fwd,tokei,/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/jdk,0.371692,0.002435,0.371834,0.367062,0.376491,5.137764,0.421743,15,65042,15688680,42208813,14.96,2821955
t2-rev,tokei,/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/jdk,0.371588,0.003315,0.371399,0.36696,0.378666,5.148586,0.4143,15,65042,15688680,42220647,14.97,2820241
t2-rev,scc,/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/jdk,0.181806,0.003724,0.180826,0.178389,0.192475,2.375144,0.359159,15,66301,15818623,87008282,15.04,5785249
t2-rev,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/jdk,0.097528,0.009161,0.095149,0.093784,0.130413,1.101737,0.294619,15,61950,13740143,140884522,14.32,9840003
