set,instance,command,mean_s,stddev_s,median_s,min_s,max_s,user_s,system_s,runs,counted_files,counted_lines,lines_per_sec,parallelism,lines_per_cpu_s
control-end,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux,0.256484,0.007343,0.256706,0.246837,0.271604,2.465877,0.348605,15,,,,10.97,
control-start,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux,0.256946,0.020607,0.252766,0.23552,0.308995,2.506687,0.357967,15,,,,11.15,
t1-fwd,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux --languages c,h,s,py,pl,rs,sh --hide keywords --count-minified --count-generated --counting region --no-heuristics",0.228273,0.011516,0.224959,0.216319,0.251806,2.124984,0.337903,15,63864,36036878,157867407,10.79,14631965
t1-fwd,mezura@v3.1.0,"/home/petros/Documents/dev/tools/given/mezura@v3.1.0/mezura /home/petros/Documents/dev/bench/linux --languages c,h,s,py,pl,rs,sh --hide keywords --count-minified --count-generated --counting region --no-heuristics",0.168194,0.011917,0.165115,0.158512,0.209069,1.865073,0.391643,15,63864,36036878,214257386,13.42,15968726
t1-rev,mezura@v3.1.0,"/home/petros/Documents/dev/tools/given/mezura@v3.1.0/mezura /home/petros/Documents/dev/bench/linux --languages c,h,s,py,pl,rs,sh --hide keywords --count-minified --count-generated --counting region --no-heuristics",0.165581,0.00706,0.163711,0.156997,0.181142,1.889607,0.378049,15,63864,36036878,217638889,13.7,15891685
t1-rev,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux --languages c,h,s,py,pl,rs,sh --hide keywords --count-minified --count-generated --counting region --no-heuristics",0.219625,0.010118,0.217041,0.207148,0.243837,2.087291,0.352516,15,63864,36036878,164083430,11.11,14770383
t2-fwd,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux,0.256752,0.006197,0.256979,0.24542,0.26632,2.463985,0.362643,15,66539,35816820,139499551,11.01,12671216
t2-fwd,mezura@v3.1.0,/home/petros/Documents/dev/tools/given/mezura@v3.1.0/mezura /home/petros/Documents/dev/bench/linux,0.191463,0.004656,0.19244,0.182602,0.197059,2.250818,0.409651,15,66539,35816820,187069511,13.9,13462596
t2-rev,mezura@v3.1.0,/home/petros/Documents/dev/tools/given/mezura@v3.1.0/mezura /home/petros/Documents/dev/bench/linux,0.193847,0.004521,0.195036,0.181104,0.198746,2.242802,0.403864,15,66539,35816820,184768803,13.65,13532807
t2-rev,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux,0.25874,0.008803,0.263129,0.244232,0.27052,2.452862,0.363194,15,66539,35816820,138427912,10.88,12718787
