set,instance,command,mean_s,stddev_s,median_s,min_s,max_s,user_s,system_s,runs,counted_files,counted_lines,lines_per_sec,parallelism,lines_per_cpu_s
control-end,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/cpython,0.021505,0.012491,0.017837,0.017129,0.066387,0.172271,0.020733,15,,,,8.97,
control-start,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/cpython,0.018632,0.001304,0.018532,0.016639,0.02143,0.168527,0.024373,15,,,,10.35,
t1-fwd,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/cpython --languages py,c,h,html,js,bat,sh,m --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.016687,0.001048,0.016584,0.015156,0.019512,0.147648,0.0243,15,3557,2230162,133645794,10.3,12969949
t1-fwd,scc,"/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/cpython -i py,c,h,html,js,bat,sh,m --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.020047,0.000401,0.020014,0.019503,0.020947,0.214908,0.030124,15,3554,2229543,111218050,12.22,9098960
t1-fwd,tokei,"/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/cpython -t ""Python,C,C Header,HTML,JavaScript,Batch,Shell,Objective-C"" --no-ignore --hidden",0.045639,0.000765,0.045596,0.04463,0.047163,0.615727,0.031227,15,3581,2230903,48881464,14.18,3448320
t1-rev,tokei,"/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/cpython -t ""Python,C,C Header,HTML,JavaScript,Batch,Shell,Objective-C"" --no-ignore --hidden",0.0453,0.000596,0.04508,0.044174,0.046699,0.614945,0.032874,15,3581,2230903,49247252,14.3,3443712
t1-rev,scc,"/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/cpython -i py,c,h,html,js,bat,sh,m --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.020103,0.000407,0.020104,0.01958,0.021067,0.222105,0.023866,15,3554,2229543,110904442,12.24,9064261
t1-rev,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/cpython --languages py,c,h,html,js,bat,sh,m --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.016528,0.001708,0.016081,0.015102,0.022117,0.157004,0.014096,15,3557,2230162,134930076,10.35,13034281
t2-fwd,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/cpython,0.024763,0.020358,0.019539,0.017407,0.098183,0.168743,0.019684,15,3573,2124279,85783095,7.61,11273739
t2-fwd,scc,/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/cpython,0.031144,0.000484,0.031152,0.030323,0.032082,0.368439,0.034122,15,5777,3047694,97858784,12.93,7570763
t2-fwd,tokei,/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/cpython,0.054709,0.000746,0.054571,0.053393,0.055897,0.72285,0.047491,15,5657,2998673,54811494,14.08,3892655
t2-rev,tokei,/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/cpython,0.054627,0.000725,0.054352,0.05384,0.056454,0.73347,0.036332,15,5657,2998673,54893231,14.09,3895381
t2-rev,scc,/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/cpython,0.031367,0.000474,0.031345,0.030725,0.032563,0.360035,0.03984,15,5777,3047694,97162544,12.75,7621609
t2-rev,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/cpython,0.018909,0.001136,0.018825,0.017008,0.021166,0.169564,0.021096,15,3573,2124279,112342703,10.08,11141709
