set,instance,command,mean_s,stddev_s,median_s,min_s,max_s,user_s,system_s,runs,counted_files,counted_lines,lines_per_sec,parallelism,lines_per_cpu_s
control-end,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/jdk,0.15595,0.009426,0.152846,0.151994,0.189159,0.985417,1.245833,15,,,,14.31,
control-start,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/jdk,0.155087,0.009324,0.152759,0.151126,0.188623,0.983333,1.242708,15,,,,14.35,
t1-fwd,mezura,"D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/jdk --languages java,cpp,cc,hpp,hh,c,h,sh --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.139614,0.007847,0.137024,0.135527,0.165296,0.836458,1.188542,15,61425,13226930,94739222,14.5,6531817
t1-fwd,scc,"D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/jdk -i java,cpp,cc,hpp,hh,c,h,sh --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.279168,0.016481,0.271455,0.268757,0.311933,1.823958,1.919792,15,61420,13226395,47377918,13.41,3532927
t1-fwd,tokei,"D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/jdk -t ""Java,C++,C++,C++ Header,C++ Header,C,C Header,Shell"" --no-ignore --hidden",0.442213,0.019002,0.429978,0.425339,0.47035,4.053125,2.114583,15,61421,13226397,29909585,13.95,2144459
t1-rev,tokei,"D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/jdk -t ""Java,C++,C++,C++ Header,C++ Header,C,C Header,Shell"" --no-ignore --hidden",0.453648,0.025124,0.440675,0.426237,0.48986,3.951042,2.0875,15,61421,13226397,29155654,13.31,2190330
t1-rev,scc,"D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/jdk -i java,cpp,cc,hpp,hh,c,h,sh --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.280214,0.016186,0.272904,0.266716,0.313831,1.84375,1.946875,15,61420,13226395,47200971,13.53,3489239
t1-rev,mezura,"D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/jdk --languages java,cpp,cc,hpp,hh,c,h,sh --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.139995,0.007454,0.137171,0.136322,0.160201,0.807292,1.2375,15,61425,13226930,94481599,14.61,6468595
t2-fwd,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/jdk,0.156787,0.00741,0.15347,0.152465,0.178212,1.00625,1.208333,15,61950,13740143,87635460,14.12,6204392
t2-fwd,scc,D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/jdk,0.393207,0.021093,0.383073,0.375746,0.429507,2.954167,2.596875,15,66301,15818623,40229800,14.12,2849667
t2-fwd,tokei,D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/jdk,0.543048,0.021077,0.531202,0.52237,0.573314,5.302083,2.330208,15,65042,15688680,28890035,14.05,2055566
t2-rev,tokei,D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/jdk,0.537964,0.017647,0.528931,0.518291,0.56806,5.302083,2.3,15,65042,15688680,29163073,14.13,2063734
t2-rev,scc,D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/jdk,0.395025,0.01725,0.389445,0.377062,0.430439,2.93125,2.565625,15,66301,15818623,40044567,13.92,2877748
t2-rev,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/jdk,0.159078,0.012284,0.154288,0.152414,0.19174,1.017708,1.219792,15,61950,13740143,86373640,14.07,6140846
