set,instance,command,mean_s,stddev_s,median_s,min_s,max_s,user_s,system_s,runs,counted_files,counted_lines,lines_per_sec,parallelism,lines_per_cpu_s
control-end,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux,0.194177,0.005588,0.193158,0.187046,0.20449,2.282056,0.387913,15,,,,13.75,
control-start,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux,0.192484,0.006217,0.19301,0.181754,0.206123,2.255504,0.395794,15,,,,13.77,
t1-fwd,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux --languages c,h,s,asm,py,pl,pm,rs,sh --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.1641,0.009712,0.162269,0.151527,0.194762,1.813847,0.372949,15,63738,36018801,219492757,13.33,16471037
t1-fwd,scc,"/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/linux -i c,h,s,asm,py,pl,pm,rs,sh --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.210385,0.003979,0.209974,0.20532,0.220239,2.791633,0.370759,15,63738,36018801,171204573,15.03,11389731
t1-fwd,tokei,"/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/linux -t ""C,C Header,GNU Style Assembly,Assembly,Python,Perl,Perl,Rust,Shell"" --no-ignore --hidden",0.414118,0.002183,0.414195,0.408978,0.417845,5.596857,0.591304,15,63793,36027518,86998114,14.94,5822007
t1-rev,tokei,"/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/linux -t ""C,C Header,GNU Style Assembly,Assembly,Python,Perl,Perl,Rust,Shell"" --no-ignore --hidden",0.414819,0.00259,0.414727,0.409644,0.420487,5.590403,0.609645,15,63793,36027518,86851267,14.95,5810845
t1-rev,scc,"/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/linux -i c,h,s,asm,py,pl,pm,rs,sh --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.20985,0.002395,0.209761,0.206038,0.213934,2.775951,0.36718,15,63738,36018801,171640544,14.98,11459531
t1-rev,mezura,"/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux --languages c,h,s,asm,py,pl,pm,rs,sh --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.168108,0.013176,0.163172,0.154706,0.197873,1.811311,0.377707,15,63738,36018801,214260422,13.02,16454317
t2-fwd,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux,0.197545,0.015901,0.193562,0.183357,0.250233,2.27692,0.387383,15,66539,35816820,181310043,13.49,13443223
t2-fwd,scc,/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/linux,0.320801,0.003843,0.320286,0.316929,0.328924,4.478787,0.438604,15,83784,39993947,124669168,15.33,8133164
t2-fwd,tokei,/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/linux,0.466813,0.00349,0.466631,0.45872,0.471796,6.294477,0.714215,15,83843,39992832,85672008,15.01,5706177
t2-rev,tokei,/home/petros/Documents/dev/tools/tokei /home/petros/Documents/dev/bench/linux,0.467507,0.001819,0.467255,0.464173,0.47037,6.286171,0.749324,15,83843,39992832,85544802,15.05,5684438
t2-rev,scc,/home/petros/Documents/dev/tools/scc /home/petros/Documents/dev/bench/linux,0.321889,0.003554,0.321677,0.315542,0.329536,4.442252,0.457433,15,83784,39993947,124247525,15.22,8162555
t2-rev,mezura,/home/petros/Documents/dev/tools/mezura /home/petros/Documents/dev/bench/linux,0.19652,0.006017,0.196429,0.185701,0.207587,2.269932,0.399782,15,66539,35816820,182255202,13.58,13415977
