set,instance,command,mean_s,stddev_s,median_s,min_s,max_s,user_s,system_s,runs,counted_files,counted_lines,lines_per_sec,parallelism,lines_per_cpu_s
control-end,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/cpython,0.027103,0.001854,0.026629,0.026056,0.033629,0.108333,0.094792,15,,,,7.49,
control-start,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/cpython,0.026522,0.000443,0.02635,0.025789,0.027368,0.114583,0.120833,15,,,,8.88,
t1-fwd,mezura,"D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/cpython --languages py,c,h,html,js,bat,sh,m --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.023445,0.000365,0.023406,0.022961,0.024092,0.095833,0.078125,15,3559,2230164,95124712,7.42,12820104
t1-fwd,scc,"D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/cpython -i py,c,h,html,js,bat,sh,m --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.040621,0.000882,0.040635,0.039367,0.042043,0.183333,0.183333,15,3556,2229545,54886404,9.03,6080577
t1-fwd,tokei,"D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/cpython -t ""Python,C,C Header,HTML,JavaScript,Batch,Shell,Objective-C"" --no-ignore --hidden",0.066721,0.001714,0.066251,0.064268,0.06986,0.511458,0.282292,15,3583,2230905,33436171,11.9,2810589
t1-rev,tokei,"D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/cpython -t ""Python,C,C Header,HTML,JavaScript,Batch,Shell,Objective-C"" --no-ignore --hidden",0.067348,0.003922,0.066331,0.06439,0.080947,0.475,0.35,15,3583,2230905,33124962,12.25,2704127
t1-rev,scc,"D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/cpython -i py,c,h,html,js,bat,sh,m --no-gitignore --no-ignore --no-scc-ignore -c --no-cocomo --no-config",0.040704,0.00074,0.040551,0.039775,0.041803,0.207292,0.1625,15,3556,2229545,54774018,9.08,6029192
t1-rev,mezura,"D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/cpython --languages py,c,h,html,js,bat,sh,m --no-gitignore --no-ignore-files --search-in-dotted --no-local --no-default-config --hide keywords --count-minified --count-generated --count-not-code --counting region --no-shebang",0.023429,0.000384,0.02333,0.023015,0.024476,0.122917,0.125,15,3559,2230164,95187346,10.58,8995619
t2-fwd,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/cpython,0.026389,0.000583,0.026245,0.024994,0.027245,0.113542,0.102083,15,3577,2127111,80605321,8.17,9864863
t2-fwd,scc,D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/cpython,0.057882,0.000584,0.058155,0.056653,0.058485,0.34375,0.292708,15,5780,3047697,52653659,11,4788526
t2-fwd,tokei,D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/cpython,0.081238,0.001674,0.080969,0.079463,0.085983,0.611458,0.386458,15,5659,2998726,36912679,12.28,3004986
t2-rev,tokei,D:/dev/tools/linebench-counters/tokei.exe D:/dev/bench-corpora/cpython,0.081196,0.002066,0.081013,0.078839,0.085447,0.642708,0.386458,15,5659,2998726,36931848,12.68,2913742
t2-rev,scc,D:/dev/tools/linebench-counters/scc.exe D:/dev/bench-corpora/cpython,0.057926,0.000484,0.057809,0.057206,0.058969,0.353125,0.280208,15,5780,3047697,52613295,10.93,4812153
t2-rev,mezura,D:/dev/tools/linebench-counters/mezura.exe D:/dev/bench-corpora/cpython,0.026753,0.000444,0.026798,0.025953,0.027585,0.122917,0.079167,15,3577,2127111,79510183,7.55,10525910
